postcode,latitude,longitude,region,month,temperature_c,humidity_pct,wind_speed_kmh,drought_factor,days_since_rain,rainfall_mm,vegetation_density,elevation_m,ffdi,frp_nearby,risk_score,risk_label
4000,-27.46389950926773,152.9355221386961,Brisbane CBD,11,24.99,37.64,28.59,2.99,9.0,0.0,0.333,322.4,4.66,0.0,25.24,Moderate
2650,-35.10912460471532,147.4672935642414,Wagga Wagga,5,16.35,41.89,21.37,7.92,20.1,0.0,0.174,480.6,6.64,0.0,18.26,Low
5153,-35.08672033430117,138.67745018345093,Cherry Gardens,8,16.36,74.09,40.44,7.25,24.3,0.0,0.466,590.3,3.13,0.0,18.56,Low
3444,-37.10370344924767,144.64070202305012,Kyneton,5,20.38,44.01,38.93,5.68,38.1,0.0,0.262,513.6,7.68,0.0,23.19,Low
5153,-34.97432130045889,138.7290948050813,Cherry Gardens,12,36.53,25.67,13.77,10.0,12.4,0.0,0.559,594.5,24.22,0.0,59.63,High
2480,-28.820443201132818,153.28326636229588,Lismore,10,17.0,49.46,24.51,9.59,7.6,0.0,0.354,513.5,6.79,0.0,18.23,Low
2580,-34.82662636709587,149.7321747869404,Goulburn,4,16.31,78.77,37.68,5.6,1.1,0.58,0.296,636.3,1.93,0.0,14.5,Low
6000,-31.878974787600505,115.83146268531253,Perth CBD,2,29.38,43.78,36.97,4.29,2.7,1.25,0.387,498.9,7.6,0.0,33.15,Moderate
0800,-12.461547532396597,130.83654887425018,Darwin,8,13.47,77.79,41.03,6.21,0.7,11.27,0.221,439.5,2.17,0.0,11.95,Low
3000,-37.683653378706325,144.93345656135398,Melbourne CBD,11,18.4,46.03,15.61,3.29,15.4,0.0,0.248,362.4,2.27,0.0,19.57,Low
2480,-28.857125717542846,153.3058902584601,Lismore,8,16.05,84.53,37.28,6.84,17.7,0.0,0.281,463.1,1.9,0.0,15.92,Low
3444,-37.03876789507857,144.57449780740635,Kyneton,5,13.59,50.42,27.33,4.98,40.9,0.0,0.537,580.3,3.28,0.0,21.45,Low
2650,-35.1512353361581,147.39452097858515,Wagga Wagga,12,28.84,23.53,31.63,10.0,40.3,0.0,0.253,591.9,30.54,0.0,64.96,High
0800,-12.426085029440399,130.8375985234643,Darwin,10,12.38,54.35,29.67,8.08,18.0,0.0,0.147,454.3,4.68,3.46,15.32,Low
2480,-28.82495879318897,153.22863701095395,Lismore,9,15.83,48.54,25.83,6.94,2.1,5.7,0.119,645.0,5.06,0.0,16.29,Low
3000,-37.817932774793434,144.90066792413177,Melbourne CBD,3,25.06,38.2,12.63,8.86,2.7,10.13,0.463,596.4,9.22,0.0,23.61,Low
2580,-34.65173362457731,149.71405010121345,Goulburn,4,15.99,52.05,47.1,8.05,6.8,4.09,0.404,434.7,8.58,0.0,19.41,Low
2580,-34.761048208691484,149.72134429194972,Goulburn,6,12.44,70.34,25.25,6.47,1.0,3.27,0.499,464.2,1.96,0.0,14.68,Low
2000,-33.86336096508679,151.22052839888144,Sydney CBD,2,28.45,38.61,10.92,4.93,45.5,0.0,0.435,375.2,5.49,0.0,38.89,Moderate
4570,-26.21898504557368,152.65879475609236,Gympie,7,16.13,38.09,38.89,7.37,20.8,0.0,0.388,737.7,10.55,0.0,21.06,Low
4380,-28.62470044450202,151.840129432827,Stanthorpe,11,27.9,45.56,31.61,10.0,23.0,0.0,0.464,571.8,13.83,21.18,41.66,Moderate
2480,-28.719913144873495,153.34393404167156,Lismore,12,34.71,19.18,31.94,7.74,48.6,0.0,0.433,423.8,33.86,0.0,74.9,High
2650,-35.14751525769227,147.3364188316031,Wagga Wagga,4,14.2,36.67,27.42,6.72,5.2,4.88,0.528,579.6,7.24,0.0,18.23,Low
6076,-31.964734073786044,116.15804133936892,Mundaring,2,34.76,22.06,22.8,10.0,53.2,0.0,0.629,508.0,31.91,0.0,77.46,Extreme
4000,-27.48746288521592,153.00391824743915,Brisbane CBD,12,18.2,34.18,7.24,9.76,24.7,0.0,0.14,345.1,8.14,26.67,32.24,Moderate
0800,-12.46949971935912,130.8624195146808,Darwin,8,18.01,69.47,40.39,4.83,2.4,1.57,0.331,505.2,2.6,12.04,13.85,Low
0800,-12.427786592024535,130.80881155196522,Darwin,3,26.7,40.39,37.98,2.05,13.4,0.0,0.193,406.2,3.85,0.0,31.14,Moderate
3000,-37.80096772678623,144.9975870136697,Melbourne CBD,6,15.15,92.93,12.25,3.78,0.2,1.4,0.257,390.7,0.43,0.0,5.32,Low
7140,-42.705383989123284,146.5350737314974,Hamilton TAS,5,16.04,85.93,24.08,4.98,20.4,0.0,0.567,513.8,0.97,21.03,15.28,Low
6000,-31.839390434530767,115.91559938569053,Perth CBD,9,11.47,88.43,20.87,2.14,14.7,0.0,0.094,538.6,0.31,0.0,7.61,Low
0800,-12.536639792613117,130.89112852160048,Darwin,3,29.31,45.92,24.49,10.0,9.6,0.0,0.246,384.3,12.13,0.0,33.13,Moderate
7000,-42.92352863081309,147.2807863812354,Hobart,11,30.02,48.17,30.6,7.19,41.9,0.0,0.395,475.3,9.58,0.0,36.19,Moderate
7000,-42.86888586412709,147.25035031332342,Hobart,12,17.95,36.65,38.12,10.0,5.1,2.67,0.328,604.7,15.64,0.0,37.38,Moderate
2630,-36.440130263589985,148.55747883715935,Cooma,4,16.46,71.39,35.4,5.49,26.1,0.0,0.286,658.4,2.33,4.77,18.97,Low
4380,-28.70637521688703,151.93598704768962,Stanthorpe,8,15.58,77.28,27.14,4.47,31.6,0.0,0.361,555.5,1.24,5.36,17.65,Low
0800,-12.531780941410673,130.74434467874104,Darwin,6,15.95,64.91,28.82,6.6,5.3,2.48,0.566,499.8,2.94,0.0,14.61,Low
3444,-37.07849866155293,144.58168929558954,Kyneton,9,16.1,78.98,30.97,5.66,2.1,11.23,0.514,583.4,1.65,32.22,14.98,Low
3820,-38.15404436410195,146.02693779962232,Traralgon,8,11.01,66.61,48.94,3.96,24.4,0.0,0.261,549.6,2.27,0.0,16.7,Low
7140,-42.67291415431801,146.45254103796856,Hamilton TAS,10,12.35,58.41,24.77,4.57,24.1,0.0,0.598,661.3,2.06,0.0,17.5,Low
3444,-37.030333466652365,144.5651863345899,Kyneton,1,32.96,27.04,53.73,10.0,10.0,0.0,0.587,508.1,52.17,0.0,76.33,Extreme
2580,-34.649902701659855,149.7019307116409,Goulburn,7,15.85,48.14,47.52,8.6,11.9,0.0,0.034,617.3,10.53,0.0,19.46,Low
6076,-31.925812800796855,116.14658880487043,Mundaring,9,14.59,45.23,31.65,6.42,70.2,0.0,0.833,598.2,5.77,45.71,28.26,Moderate
2480,-28.81289745278377,153.32628834115815,Lismore,9,15.98,69.97,33.52,4.48,16.9,0.0,0.418,645.8,1.88,0.0,17.15,Low
5000,-34.91487751428199,138.5686035756623,Adelaide CBD,2,23.13,29.56,27.34,6.93,73.8,0.0,0.363,338.9,12.89,0.0,52.8,High
2000,-33.80272969046941,151.14415222129517,Sydney CBD,4,8.45,90.37,16.14,2.87,2.3,5.33,0.251,212.7,0.31,0.0,4.88,Low
3000,-37.75017142491678,144.95207352134867,Melbourne CBD,7,10.97,73.19,1.27,3.09,9.2,0.0,0.316,397.9,0.46,0.0,6.88,Low
2630,-36.31800476563019,148.39004317567765,Cooma,2,38.56,18.25,17.58,10.0,13.0,0.0,0.681,553.1,36.63,0.0,71.56,High
4380,-28.54933063762367,151.94682676655412,Stanthorpe,2,30.12,40.38,29.15,10.0,24.3,0.0,0.467,504.7,16.83,0.0,55.25,High
6000,-31.985392633837158,115.90980238429029,Perth CBD,8,12.26,70.65,17.58,6.02,4.9,2.15,0.255,408.3,1.5,0.0,8.55,Low
4570,-26.07181832781623,152.68106797840244,Gympie,2,27.19,22.26,24.96,10.0,8.6,0.0,0.563,533.3,25.82,0.0,55.92,High
2650,-35.120130083380445,147.30937713605755,Wagga Wagga,11,21.5,36.68,38.88,4.49,10.8,0.0,0.446,507.9,8.14,0.0,34.95,Moderate
3444,-37.081423138448386,144.61546700090526,Kyneton,1,37.06,28.02,20.73,9.03,92.0,0.0,0.714,603.4,24.18,0.0,81.13,Extreme
6000,-31.939748665646906,115.8703123772869,Perth CBD,2,26.65,31.45,14.43,8.88,5.9,2.67,0.295,480.2,12.83,0.0,34.88,Moderate
4000,-27.5193540885144,153.09433735679,Brisbane CBD,1,19.78,39.59,26.73,6.43,29.7,0.0,0.131,294.2,7.45,0.0,34.56,Moderate
4570,-26.357580525845236,152.72053697694696,Gympie,4,16.79,61.19,34.5,6.05,0.2,6.92,0.357,563.2,3.61,9.73,15.14,Low
2480,-28.72693422013818,153.38433073230445,Lismore,10,16.21,35.45,19.91,3.81,37.9,0.0,0.669,835.8,3.88,17.35,22.82,Low
2650,-35.14895401542397,147.34086815628504,Wagga Wagga,2,29.22,28.44,40.72,7.74,3.5,5.94,0.554,576.1,25.08,0.0,55.39,High
7000,-42.86219165613876,147.33243374191636,Hobart,11,20.62,34.94,34.45,8.89,11.0,0.0,0.111,507.6,14.85,0.0,30.04,Moderate
2480,-28.75047501093796,153.28862425474745,Lismore,11,26.07,17.76,36.59,9.85,7.2,0.0,0.598,560.8,37.52,0.0,52.52,High
2000,-33.881323944595074,151.2283682753408,Sydney CBD,8,14.85,94.29,28.22,4.35,1.7,6.96,0.157,319.6,0.67,0.0,5.77,Low
7140,-42.71640783880339,146.50756444047124,Hamilton TAS,6,16.72,56.58,26.26,4.92,42.2,0.0,0.499,647.1,2.84,5.4,20.29,Low
7000,-42.86464677417149,147.3234298546989,Hobart,7,15.94,89.43,22.98,5.31,10.9,0.0,0.407,349.7,0.89,0.0,10.14,Low
5153,-35.03242203648938,138.68523272180715,Cherry Gardens,9,13.63,78.99,36.11,5.12,18.9,0.0,0.822,446.2,1.55,0.0,17.85,Low
7140,-42.71229820895623,146.4500403996675,Hamilton TAS,9,13.82,53.59,48.08,8.08,17.3,0.0,0.108,545.7,7.76,30.86,17.97,Low
3737,-36.73389185985064,146.88132766293003,Bright VIC,10,17.98,40.45,24.43,6.43,54.7,0.0,0.71,708.3,6.45,0.0,26.7,Moderate
3737,-36.726607224473625,146.97263868375612,Bright VIC,7,15.53,45.34,45.19,6.46,8.8,0.0,0.064,728.0,8.19,0.0,19.72,Low
4380,-28.628820046720325,151.90320980424787,Stanthorpe,12,36.37,30.38,40.67,10.0,56.8,0.0,0.438,484.5,38.43,0.0,79.03,Extreme
4570,-26.215105150204945,152.68793454830166,Gympie,12,31.52,22.27,41.14,10.0,2.9,6.46,0.582,576.4,43.61,0.6,66.84,High
3000,-37.92200249492598,144.91003488838527,Melbourne CBD,3,20.3,45.04,23.35,9.76,14.9,0.0,0.476,330.9,8.76,0.0,24.73,Low
2000,-33.894454739295945,151.22486548228406,Sydney CBD,5,10.07,93.67,20.65,2.75,11.4,0.0,0.196,391.3,0.31,0.0,5.96,Low
2480,-28.84578320169211,153.32417092523116,Lismore,8,15.9,41.33,32.21,5.12,48.3,0.0,0.554,725.8,5.58,0.0,24.13,Low
6000,-31.930587867610733,115.82517901035386,Perth CBD,2,22.53,41.73,26.77,4.32,3.6,2.4,0.057,342.3,5.13,10.94,26.81,Moderate
6076,-31.873584848266653,116.13278051991264,Mundaring,3,28.59,37.37,44.03,10.0,25.7,0.0,0.651,450.0,25.1,0.0,51.96,High
2630,-36.416367656709525,148.48191844913674,Cooma,12,40.17,26.86,43.19,10.0,5.3,0.41,0.474,736.2,52.35,0.0,77.95,Extreme
4570,-26.17849952381186,152.74061391289942,Gympie,9,16.33,67.16,33.52,7.0,16.0,0.0,0.171,628.6,3.26,0.0,15.71,Low
3737,-36.61545580379606,146.93535211910395,Bright VIC,9,18.3,36.94,42.26,4.95,12.6,0.0,0.386,634.3,8.62,0.0,22.27,Low
3820,-38.192877574973245,145.98453954614752,Traralgon,6,12.72,41.14,27.11,5.55,3.3,1.62,0.173,548.2,4.85,0.15,15.64,Low
0800,-12.479955592610139,130.80735516137943,Darwin,10,12.07,69.68,28.56,4.16,19.2,0.0,0.331,283.8,1.38,0.0,14.12,Low
2000,-33.900738643257846,151.1965734676047,Sydney CBD,8,7.34,58.8,24.14,4.56,11.2,0.0,0.412,354.5,1.69,0.0,9.23,Low
2630,-36.3583819861158,148.51567973958896,Cooma,2,29.29,25.29,29.45,10.0,13.5,0.0,0.566,770.6,27.73,0.0,63.29,High
6076,-31.9384343157035,116.07149270603584,Mundaring,2,31.94,21.88,46.65,10.0,19.6,0.0,0.398,601.4,51.02,0.0,78.75,Extreme
3820,-38.045199639364135,146.02286149374137,Traralgon,12,33.38,34.99,29.32,9.78,17.2,0.0,0.618,586.5,22.23,0.0,57.04,High
4000,-27.43101697338653,153.02247892602423,Brisbane CBD,11,13.55,54.76,36.69,9.07,16.3,0.0,0.205,349.2,6.34,0.0,22.33,Low
2480,-28.818602427237778,153.3109093539234,Lismore,11,24.98,43.11,30.01,8.12,45.1,0.0,0.415,695.8,10.7,3.66,43.92,Moderate
6000,-31.896455238433017,115.72881058822253,Perth CBD,4,11.52,74.9,22.81,5.23,7.0,0.0,0.246,338.6,1.24,0.0,8.52,Low
2580,-34.77166299417438,149.77099622897984,Goulburn,12,26.46,20.25,34.76,9.52,0.8,17.66,0.48,619.7,32.35,5.67,60.01,High
2650,-35.137895554519055,147.40551662481192,Wagga Wagga,3,24.59,23.98,23.08,10.0,39.1,0.0,0.173,572.4,21.32,0.0,45.61,Moderate
2580,-34.783926466768236,149.72378361470237,Goulburn,8,16.71,70.93,28.93,8.36,3.8,9.57,0.182,736.2,3.1,0.0,14.93,Low
3737,-36.66127809534146,147.06579732861564,Bright VIC,9,15.28,34.68,35.89,6.85,51.8,0.0,0.058,560.4,9.99,0.0,25.46,Moderate
2630,-36.42032216388596,148.11298056826678,Jindabyne,5,15.6,46.36,40.28,7.38,23.9,0.0,0.618,644.9,8.06,0.0,24.16,Low
6076,-31.934197975089955,116.1476562522688,Mundaring,7,15.5,45.88,44.99,7.63,30.7,0.0,0.519,530.6,9.42,0.0,24.12,Low
3444,-37.087991399845684,144.61875255476517,Kyneton,7,15.99,53.95,31.15,5.09,0.1,13.83,0.426,594.5,3.52,10.19,16.64,Low
2630,-36.45089169527791,148.41491690423103,Cooma,6,16.53,24.92,44.77,8.93,31.1,0.0,0.39,606.4,23.36,24.77,28.74,Moderate
2650,-35.04593807257056,147.34607112776894,Wagga Wagga,7,15.62,37.25,25.94,4.94,0.5,4.38,0.56,565.8,5.31,0.0,17.42,Low
0800,-12.322016998054448,130.8387212843904,Darwin,7,7.31,66.91,44.4,6.98,1.5,5.74,0.606,606.0,3.12,29.86,13.63,Low
6076,-31.863565760139153,116.07559015013838,Mundaring,2,25.34,26.23,28.42,10.0,8.4,0.0,0.614,732.6,22.92,0.0,58.39,High
5153,-35.100820199305055,138.74443287954807,Cherry Gardens,4,15.46,58.48,40.81,5.76,11.4,0.0,0.183,632.2,4.18,0.0,17.29,Low
4570,-26.179004142469704,152.59369524704766,Gympie,5,14.69,92.02,28.72,2.2,44.2,0.0,0.352,456.6,0.37,39.17,16.74,Low
2630,-36.31372826077926,148.5473999876962,Cooma,2,36.1,16.41,44.31,10.0,6.3,5.66,0.097,533.0,67.14,0.0,83.53,Extreme
2000,-33.83704843255638,151.1962244854766,Sydney CBD,4,9.53,95.74,26.14,4.17,1.3,5.82,0.384,348.2,0.49,0.0,5.49,Low
3737,-36.67510788195558,146.87367265938582,Bright VIC,8,16.84,56.68,35.13,5.62,37.4,0.0,0.169,643.2,3.98,9.64,21.35,Low
3444,-36.97690330616342,144.5789859226549,Kyneton,5,13.93,73.49,27.41,6.83,20.3,0.0,0.147,779.1,2.05,0.0,15.82,Low
4000,-27.40255852897804,152.98645819816335,Brisbane CBD,6,12.42,79.28,19.04,7.57,0.9,5.57,0.314,509.2,1.45,0.0,7.75,Low
5153,-35.07170099295535,138.76331791872232,Cherry Gardens,7,16.23,60.55,26.05,6.5,3.8,8.33,0.405,478.5,3.19,0.0,16.26,Low
7000,-42.87076736120477,147.26462128080547,Hobart,9,14.73,88.77,25.96,5.63,4.2,0.23,0.162,485.5,0.99,0.0,8.52,Low
2480,-28.81051469161948,153.25690089111015,Lismore,6,15.31,35.37,31.87,5.35,77.6,0.0,0.751,626.2,6.97,0.0,28.89,Moderate
3820,-38.197282506985,146.0153007199009,Traralgon,4,15.4,70.85,42.89,4.21,11.1,0.0,0.581,515.9,2.1,0.0,16.3,Low
3000,-37.76580693982735,144.9491113208804,Melbourne CBD,10,13.34,73.58,32.16,5.76,0.6,8.25,0.177,346.6,1.89,0.0,7.4,Low
6000,-31.86949142353107,115.884358222011,Perth CBD,10,19.1,56.24,42.05,3.77,1.3,0.17,0.374,196.0,3.46,0.0,12.1,Low
3000,-37.738987153377906,144.93326421960947,Melbourne CBD,10,12.51,65.92,27.67,6.21,9.9,0.0,0.139,292.6,2.32,0.0,8.69,Low
4380,-28.61451793547471,151.96183692758666,Stanthorpe,4,11.86,55.54,23.98,6.46,9.7,0.0,0.297,581.1,3.1,0.0,16.17,Low
2630,-36.2488797230605,148.51288873034974,Cooma,2,35.12,19.65,45.71,10.0,16.2,0.0,0.581,602.0,60.01,0.0,85.23,Extreme
3820,-38.05015758990933,145.97146643256934,Traralgon,5,12.46,69.22,39.96,5.37,1.2,1.06,0.66,599.1,2.39,0.0,15.05,Low
2630,-36.42157598873627,148.26526546604396,Jindabyne,9,17.71,58.33,35.99,5.81,25.0,0.0,0.67,579.2,4.09,30.34,22.79,Low
4380,-28.600223376545845,151.95150353795958,Stanthorpe,6,16.28,34.24,42.42,4.55,34.2,0.0,0.6,688.2,8.17,0.0,24.27,Low
3444,-37.04027980094145,144.6034370827796,Kyneton,9,15.96,67.7,29.06,5.17,9.8,0.0,0.178,657.9,2.11,0.0,15.5,Low
2480,-28.754017775276136,153.2903531579314,Lismore,10,15.86,48.08,28.3,7.97,0.6,9.13,0.345,599.3,6.25,0.0,17.35,Low
7140,-42.678647297965554,146.495093035319,Hamilton TAS,6,12.89,66.01,29.58,6.41,21.6,0.0,0.533,675.3,2.53,0.0,16.86,Low
3737,-36.815367897879646,146.90838810804178,Bright VIC,8,15.69,42.29,27.98,4.76,11.3,0.0,0.085,566.4,4.52,0.0,18.68,Low
7000,-42.946415747573255,147.33387368593688,Hobart,7,12.05,75.14,30.01,6.11,3.6,2.71,0.498,367.2,1.73,0.0,10.54,Low
3820,-38.12640208531373,146.01036336646996,Traralgon,10,13.8,46.8,39.12,7.05,12.1,0.0,0.529,365.3,6.94,0.0,18.71,Low
5000,-34.897219928622526,138.5231738192528,Adelaide CBD,7,11.91,75.95,25.49,4.48,13.7,0.0,0.109,481.4,1.11,0.0,8.88,Low
2630,-36.37814397887297,148.50789526980554,Cooma,1,32.7,17.29,25.63,10.0,72.7,0.0,0.079,682.1,37.5,0.0,81.49,Extreme
3820,-38.041588012054014,146.06451840610973,Traralgon,6,17.34,47.65,30.87,6.04,12.5,0.0,0.225,490.8,5.38,0.0,17.41,Low
4380,-28.665040165610844,151.9109973379315,Stanthorpe,2,29.69,27.76,36.35,10.0,32.2,0.0,0.46,750.5,30.33,0.0,66.7,High
